1,3,Chemical Engineering,310
2,3,Computer Sciences,302
3,3.5,Civil Engineering,375
4,4,Mathematics,461
5,3,Industrial Engineering,514
6,3.5,Computer Sciences,302
7,4,Computer Sciences,302
8,4,Computer Sciences,302
9,3,Civil Engineering,375
10,2,Computer Sciences,302
11,3,Computer Sciences,302
12,2.5,Computer Sciences,302
13,2.5,Computer Sciences,302
14,2.5,Mathematics,462
15,3,Sanitary Engineering,310
16,3,Computer Sciences,467
16,3,Computer Sciences,701
17,3,Mathematics,461
18,2,Civil Engineering,375
18,3.5,Mathematics,461
19,3.5,Mathematics,461
20,2.5,Computer Sciences,302
21,3,Computer Sciences,467
21,3.5,Industrial Engineering,514
22,3,Computer Sciences,302
22,3,Computer Sciences,467
23,4,Civil Engineering,561
24,4,Computer Sciences,302
25,3.5,Computer Sciences,302
26,3.5,Mathematics,462
27,2.5,Industrial Engineering,514
28,3,Mathematics,461
29,3,Civil Engineering,365
29,3,Civil Engineering,375
29,3,Civil Engineering,561
30,4,Computer Sciences,467
31,3.5,Computer Sciences,302
32,2,Civil Engineering,561
33,2,Civil Engineering,365
33,3,Computer Sciences,701
34,1,Civil Engineering,561
35,3,Mathematics,461
36,3,Civil Engineering,375
37,3,Mathematics,462
38,3,Computer Sciences,302
39,3,Computer Sciences,302
40,3.5,Mathematics,462
41,3,Computer Sciences,701
42,3.5,Computer Sciences,701
43,2.5,Computer Sciences,467
44,4,Computer Sciences,701
45,3,Chemical Engineering,310
46,4,Computer Sciences,701
47,0.5,Civil Engineering,561
47,1,Civil Engineering,365
48,1.5,Civil Engineering,561
49,3.5,Chemical Engineering,310
49,3.5,Industrial Engineering,514
50,4,Industrial Engineering,514
51,3,Computer Sciences,701
52,1,Computer Sciences,302
52,4,Computer Sciences,467
53,4,Mathematics,462
54,3,Civil Engineering,375
55,2.5,Mathematics,461
56,2.5,Chemical Engineering,310
57,3.5,Computer Sciences,467
58,2,Industrial Engineering,514
59,3.5,Mathematics,462
60,2.5,Civil Engineering,561
61,2,Mathematics,726
61,3.5,Civil Engineering,561
62,2.5,Mathematics,726
63,2.5,Computer Sciences,701
64,3.5,Mathematics,726
64,4,Civil Engineering,561
66,1.5,Civil Engineering,365
66,4,Civil Engineering,375
67,3.5,Computer Sciences,467
67,4,Computer Sciences,701
68,3.5,Mathematics,726
69,2,Computer Sciences,467
69,3.5,Computer Sciences,302
70,3.5,Civil Engineering,561
71,2.5,Computer Sciences,701
72,3.5,Mathematics,726
73,3,Civil Engineering,375
74,2.5,Civil Engineering,365
75,3,Mathematics,726
76,3.5,Civil Engineering,365
77,2,Computer Sciences,701
78,3,Industrial Engineering,514
79,4,Civil Engineering,365
80,4,Computer Sciences,701
81,2.5,Civil Engineering,561
82,3.5,Computer Sciences,701
83,3,Computer Sciences,701
84,3,Computer Sciences,701
85,3.5,Civil Engineering,375
86,2.5,Computer Sciences,467
86,3,Computer Sciences,701
87,4,Computer Sciences,701
88,2,Chemical Engineering,310
89,3.5,Computer Sciences,701
90,3.5,Mathematics,726
90,3.5,Mathematics,462
91,4,Mathematics,462
92,4,Mathematics,726
93,4,Chemical Engineering,310
94,2,Mathematics,461
96,3,Civil Engineering,561
96,4,Civil Engineering,365
97,3,Industrial Engineering,514
98,4,Industrial Engineering,514
99,3.5,Computer Sciences,701
100,2,Mathematics,726
101,4,Mathematics,462
102,3.5,Mathematics,461
103,4,Computer Sciences,701
104,2.599999905,Sanitary Engineering,561
104,2.799999952,Computer Sciences,302
